cuidType,cuid,transactionId,transactionSource,transactionDatetime,value,currency,productId,quantity,itemPrice
id,25,TR-ID-900000,Offline,2026-01-31T01:34:35Z,1450.0,USD,0400026567668,1,1450.0
id,8,TR-ID-900001,Offline,2026-03-12T20:38:42Z,70.0,USD,22860234,1,70.0
id,16,TR-ID-900002,Offline,2025-09-10T20:49:31Z,2400.0,USD,0400026304157,1,2400.0
id,19,TR-ID-900003,Offline,2025-09-18T07:32:39Z,1420.0,USD,24812006,1,225.0
id,19,TR-ID-900003,Offline,2025-09-18T07:32:39Z,1420.0,USD,23088069,1,1195.0
id,13,TR-ID-900004,Offline,2026-03-25T00:04:01Z,1510.0,USD,0400026047544,1,550.0
id,13,TR-ID-900004,Offline,2026-03-25T00:04:01Z,1510.0,USD,0400021573933,1,960.0
id,11,TR-ID-900005,Offline,2025-12-09T05:49:29Z,529.5,USD,0400026650055,1,395.0
id,11,TR-ID-900005,Offline,2025-12-09T05:49:29Z,529.5,USD,22614073,1,134.5
id,29,TR-ID-900006,Offline,2025-11-19T11:04:10Z,3150.0,USD,0400026070099,1,3150.0
id,3,TR-ID-900007,Offline,2025-12-19T17:11:06Z,665.0,USD,0400022265893,1,665.0
id,3,TR-ID-900008,Offline,2025-10-05T20:39:42Z,1600.0,USD,0400026179146,1,1600.0
id,20,TR-ID-900009,Offline,2025-10-20T13:47:46Z,101.49,USD,26032752,1,101.49
id,29,TR-ID-900010,Offline,2025-07-20T10:27:23Z,1590.0,USD,0400026877603,1,1590.0
id,1,TR-ID-900011,Offline,2025-12-17T20:41:51Z,1351.6,USD,0400026249918,1,1115.0
id,1,TR-ID-900011,Offline,2025-12-17T20:41:51Z,1351.6,USD,0400025586094,1,111.6
id,1,TR-ID-900011,Offline,2025-12-17T20:41:51Z,1351.6,USD,0400021785334,1,125.0
id,15,TR-ID-900012,Offline,2025-09-23T17:56:21Z,790.0,USD,25953717,1,600.0
id,15,TR-ID-900012,Offline,2025-09-23T17:56:21Z,790.0,USD,0400021304104,1,190.0
id,12,TR-ID-900013,Offline,2025-11-27T17:28:33Z,1220.0,USD,0400026629399,1,625.0
id,12,TR-ID-900013,Offline,2025-11-27T17:28:33Z,1220.0,USD,0400026598196,1,595.0
id,16,TR-ID-900014,Offline,2025-09-02T02:58:07Z,82.0,USD,0400023016479,1,82.0
id,5,TR-ID-900015,Offline,2025-08-30T08:38:52Z,5674.99,USD,20699244,1,74.99
id,5,TR-ID-900015,Offline,2025-08-30T08:38:52Z,5674.99,USD,0400022804168,1,5600.0
id,27,TR-ID-900016,Offline,2026-05-20T03:30:57Z,385.0,USD,26877373,1,385.0
id,19,TR-ID-900017,Offline,2026-04-16T00:31:31Z,299.0,USD,0400023287988,1,299.0
id,2,TR-ID-900018,Offline,2025-11-19T09:00:11Z,1785.5,USD,0400022886699,1,346.5
id,2,TR-ID-900018,Offline,2025-11-19T09:00:11Z,1785.5,USD,0400025199565,1,894.0
id,2,TR-ID-900018,Offline,2025-11-19T09:00:11Z,1785.5,USD,0400026276315,1,545.0
id,30,TR-ID-900019,Offline,2026-02-02T01:28:09Z,200.0,USD,0400026432563,1,200.0
